句子,句型,人工判断
“‘科学边界’是一个在国际学术界很有影响的学术组织,肯定句,
成员都是著名学者,肯定句,
这样一个合法的学术组织,未知句型,
我怎么就不能接触了呢,否定句,
”,未知句型,
“你看看你这个人,未知句型,
”史强大声说,未知句型,
“我们说它不合法了吗,否定句,
我们说不让你接触了吗,否定句,
”他说着,未知句型,
刚才吸进肚子里的烟都喷到汪淼脸上,未知句型,
“那好,未知句型,
这属于个人隐私,未知句型,
我没必要回答你们的问题,未知句型,
”,未知句型,
“还啥都成隐私了,未知句型,
像你这样一个著名学者,未知句型,
总该对公共安全负责吧,未知句型,
”史强把手中的烟头扔掉,把字句,
又从压扁了的烟盒里抽出一根,未知句型,
“我有权不回答,否定句,
你们请便吧,未知句型,
”汪淼说着要转身回屋,未知句型,
“等等,未知句型,
”史强厉声说,未知句型,
同时朝旁边的年轻警官挥了一下手,未知句型,
“给他地址和电话,未知句型,
下午去走一趟,未知句型,
”,未知句型,
“你要干什么,未知句型,
”汪淼愤怒地质问,未知句型,
这争吵引得邻居们也探出头来,未知句型,
想看看出了什么事,未知句型,
“史队,未知句型,
你说你——”年轻警官生气地将史强拉到一边,未知句型,
显然他的粗俗不止是让汪淼一人不适应,肯定句,
“汪教授,未知句型,
请别误会,未知句型,
”一名少校军官急忙上前,未知句型,
“下午有一个重要会议,未知句型,
要请几位学者和专家参加,未知句型,
首长让我们来邀请您,未知句型,
”,未知句型,
“我下午很忙,未知句型,
”,未知句型,
“这我们清楚,未知句型,
首长已经向超导中心领导打了招呼,未知句型,
这次会议上不能没有您,否定句,
实在不行,否定句,
我们只有把会议延期等您了,把字句,
”史强和他的同事没再说话,未知句型,
转身下楼了,未知句型,
两位军官看着他们走远,未知句型,
似乎都长出了一口气,未知句型,
“这人怎么这样儿,未知句型,
”少校小声对同事说,未知句型,
“他劣迹斑斑,未知句型,
前几年在一次劫持人质事件中,未知句型,
他不顾人质的死活擅自行动,否定句,
结果导致一家三口惨死在罪犯手中,未知句型,
据说他还和黑社会打得火热,未知句型,
用一帮黑道势力去收拾另一帮,未知句型,
去年又搞刑讯逼供,未知句型,
使一名嫌疑人致残,未知句型,
因此被停职了……”,被字句,对
“这种人怎么能进作战中心,未知句型,
”,未知句型,
“首长点名要他,未知句型,
应该有什么过人之处吧,未知句型,
不过,否定句,
对他限制挺严,未知句型,
除了公安方面的事务,未知句型,
几乎什么都不让他知道,否定句,
”,未知句型,
作战中心,未知句型,
那是什么,肯定句,
江淼不解地看着面前的两位军官,否定句,
接汪淼的汽车驶进了城市近郊的一座大院,未知句型,
从那只有门牌号码没有单位名牌的大门,否定句,
汪淼知道这里是军方而不是警方的地盘,肯定句,
会议是在一个大厅里举行的,肯定句,
汪淼一进去就对这里的纷乱吃惊不小,否定句,
大厅周围是一圈胡乱安放的电脑设备,肯定句,
有的桌子上放不下就直接搁地板上,否定句,
电线和网线纠缠着散在地上,未知句型,
一大摞网络交换机没有安在机架内,否定句,
而是随手堆放在服务器上,肯定句,
有好几个投影仪的大屏幕,未知句型,
在大厅的角落里呈不同角度随意立着,否定句,
像吉普赛人的帐篷,未知句型,
烟雾像晨雾般在半空浮了一层……汪淼不知道这是否就是那名军官所说的作战中心,肯定句,
有一点他可以肯定：这里在处理的事情,肯定句,
已经让人们顾不上其他了,否定句,
临时拼凑的会议桌上也是堆满了文件和杂物,肯定句,
与会者大多神情疲惫,未知句型,
衣服皱巴巴的,未知句型,
有领带的都扯开了,未知句型,
好像熬了一夜,未知句型,
主持会议的是一位叫常伟思的陆军少将,肯定句,
与会者有一半是军人,肯定句,
经过简单的介绍,未知句型,
他知道还有少部分警方人员,未知句型,
其他的人都是和他一样参加会议的专家学者,肯定句,
其中有几位还是很有名望的科学家,肯定句,
而且是研究基础科学的,肯定句,
令他感到意外的是还有四个外国人,肯定句,
这些人的身份令他大吃一惊：其中的两个人也是军人,肯定句,
分别是美军空军上校和英国陆军上校,肯定句,
职务是北约联络员,肯定句,
另外两人居然是美国中央情报局的官员,肯定句,
在这里的职务是什么观察员,肯定句,
从所有人的脸上,未知句型,
汪淼都读出了一句话：我们已经尽力了,未知句型,
快他妈的结束吧,未知句型,
汪淼看到了史强,未知句型,
他倒是一反昨天的粗鲁,肯定句,
向汪淼打招呼,未知句型,
但那一脸傻笑让汪淼愉快不起来,否定句,
他不想挨史强坐,否定句,
但也只有那一个空位,未知句型,
他只好坐过去,未知句型,
屋里本来已经很浓的烟味更加重了,未知句型,
发文件时,未知句型,
史强凑近汪淼说：“汪教授,未知句型,
你好像是在研究什么……新材料,肯定句,
”,未知句型,
“纳米材料,未知句型,
”汪淼简单地回答,未知句型,
“我听说过,未知句型,
那玩意儿强度很高,未知句型,
不会被用于犯罪吧,否定句,对
”从史强那带有一半调侃的表情上,未知句型,
汪淼看不出他是不是开玩笑,肯定句,
“什么意思,未知句型,
”,未知句型,
“呵,未知句型,
听说那玩意儿一根头发丝粗就能吊起一辆大卡车,未知句型,
犯罪分子要是偷点儿去做把刀,肯定句,
那一刀就能把一辆汽车砍成两截吧,把字句,
”,未知句型,
“哼,未知句型,
根本不用做成刀,否定句,对
用那种材料做一根只有头发丝百分之一粗细的线,未知句型,
拦在路上,未知句型,
就能把过往的汽车像切奶酪那样切成两半……啥不能用于犯罪,否定句,对
刮鱼鳞的刀都能,未知句型,
”,未知句型,
史强把面前的文件从袋中抽出一半又塞了回去,把字句,
显然没了兴趣,未知句型,
“说得对,未知句型,
鱼都能犯罪呢,未知句型,
我办过一个杀人案,未知句型,
一个娘们儿把她丈夫的那玩意儿割下来了,把字句,
知道用的是什么,肯定句,
冰箱里冷冻的罗非鱼,否定句,错
鱼冻硬后,未知句型,
背上的那排刺就跟一把快刀似的……”,把字句,
“我没兴趣,未知句型,
怎么,未知句型,
让我来开会就是为这事儿,肯定句,
”,未知句型,
“鱼,未知句型,
纳米材料,未知句型,
不、不,否定句,错
与那些都没关系,未知句型,
”史强把嘴凑到汪淼耳边,把字句,
“别给这帮家伙好脸,未知句型,
他们歧视咱们,未知句型,
只想从咱们这里掏情报,未知句型,
但什么都不告诉咱们,否定句,对
像我,未知句型,
在这儿混了一个多月,未知句型,
还和你一样什么都不知道,否定句,对
”,未知句型,
“同志们,未知句型,
会议开始,未知句型,
”常伟思将军说,未知句型,
“在全球各战区,未知句型,
我们这里现在成为焦点,未知句型,
首先把当前情况向与会的同志们介绍一下,把字句,
”,未知句型,
“战区”这个不寻常的术语令汪淼迷惑,否定句,错
他还注意到,未知句型,
首长好像并没有打算向他这样的新人介绍来龙去脉,否定句,对
这倒是印证了史强的话,肯定句,
在常将军这简短的开场白中,未知句型,
他两次提到了“同志们”,未知句型,
汪淼看看对面的两名北约军人和两个美国中情局官员,未知句型,
感觉将军似乎漏掉了“先生们”,未知句型,
“他们也是同志,肯定句,
反正这边的人都是这么称呼的,肯定句,
”史强低声地对汪淼说,未知句型,
同时用手中的烟指了指那四个外国人,未知句型,
在迷惑的同时,未知句型,
汪淼对史强的观察力留下了些印象,未知句型,
“大史,未知句型,
你把烟熄了,把字句,
这儿的烟味够浓了,未知句型,
”常伟思说,未知句型,
低头翻着文件,未知句型,
史强拿着刚点着的烟四下看看,未知句型,
没找到烟灰缸,未知句型,
就“吱啦”一声扔到茶杯里了,未知句型,
他抓住这个机会举手要求发言,未知句型,
没等常伟思表态就大声说道：“首长,未知句型,
我提个要求,未知句型,
以前提过的——信息对等,未知句型,
”常伟思将军抬起头,未知句型,
“没有任何一个军事行动是信息对等的,肯定句,
这点也请到会的专家学者们谅解,未知句型,
我们不可能给你们介绍更多的背景资料,否定句,对
”,未知句型,
“但我们不一样,否定句,对
”史强说,未知句型,
“警方从作战中心成立之初就一直参与,未知句型,
可直到现在,未知句型,
我们连这个机构到底是干什么的都不知道,肯定句,
而且,未知句型,
你们正在把警方排挤出去,把字句,
你们一步步熟悉我们的工作,未知句型,
然后把我们一个个赶走,把字句,
”,未知句型,
与会的另外几名警官都在低声制止史强,未知句型,
史强敢对常伟思这样级别的首长这么说话,未知句型,
汪淼有些吃惊,未知句型,
而后者的反击更犀利,未知句型,
“我说大史,未知句型,
现在看来,未知句型,
你在部队上的老毛病还没改,未知句型,
你能代表警方吗,疑问句,对
你因为自己的恶劣行为已被停职好几个月了,被字句,对
马上就要被清除出公安队伍,被字句,对
我调你来,未知句型,
是看重你在城市警务方面的经验,肯定句,
你要珍惜这次机会,未知句型,
”,未知句型,
大史用粗嗓门说：“那我是戴罪立功了,肯定句,
你们不是说那都是些歪门邪道的经验吗,肯定句,
”,未知句型,
“但有用,未知句型,
”常伟思对史强点点头,未知句型,
“有用就行,未知句型,
现在顾不了那么多了,否定句,对
这是战争时期,肯定句,
”,未知句型,
“什么都顾不了了,否定句,对
”一位CIA 的情报官员用标准的普通话说,未知句型,
“我们不能再用常规思维,否定句,对
”,未知句型,
那位英军上校显然也能听懂中文,未知句型,
他点点头,未知句型,
“To be or not to be……”,未知句型,
“他说什么,未知句型,
”史强问汪淼,未知句型,
“没什么,未知句型,
”汪淼机械地回答,未知句型,
这些人似乎在梦呓,未知句型,
战争时期,未知句型,
战争在哪儿,未知句型,
他扭头望向大厅的落地窗,未知句型,
透过窗子可以看到远处大院外面的城市：春天的阳光下,肯定句,
街道上车流如织,未知句型,
草坪上有人在遛狗,未知句型,
还有几个孩子在玩耍……,未知句型,
里面和外面的世界,未知句型,
哪个更真实,未知句型,
常将军讲道：“最近,未知句型,
敌人的攻击明显加强了,未知句型,
目标仍是科学界高层,肯定句,
请你们先看一下文件中的那份名单,未知句型,
”,未知句型,
汪淼抽出文件中最上面的那张纸,未知句型,
是用大号字打印的,肯定句,
名单显然拟得很仓促,未知句型,
中文和英文姓名都有,未知句型,
“汪教授,未知句型,
看到这份名单,未知句型,
您有什么印象,未知句型,
”常伟思看着汪淼问,未知句型,
“我知道其中的三人,未知句型,
都是物理学最前沿的著名学者,肯定句,
”汪淼答道,未知句型,
有些心不在焉,否定句,错
他的目光锁定在最后一个名字上,未知句型,
在他的潜意识中,未知句型,
那两个字的色彩与上面几行字是不同的,肯定句,
怎么会在这里看到她的名字,未知句型,
她怎么了,未知句型,
“认识,未知句型,
”大史用一根被烟熏黄的粗指头指着文件上的那个名字问,被字句,对
见汪淼没有反应,否定句,对
他迅速做出反应,未知句型,
道：“呵,未知句型,
不太认识,否定句,对
想认识,未知句型,
”,未知句型,
现在,未知句型,
汪淼知道常伟思把他以前的这个战士调来是有道理的,肯定句,
这个外表粗俗的家伙,未知句型,
眼睛跟刀子一样,未知句型,
他也许不是个好警察,肯定句,
但确实是个狠角色,肯定句,
那是一年前,肯定句,
汪淼是“中华二号”高能加速器项目纳米构件部分的负责人,肯定句,
那天下午在良湘的工地上,未知句型,
一次短暂的休息中,未知句型,
他突然被眼前的一幅构图吸引了,被字句,
作为一名风景摄影爱好者,未知句型,
现实的场景经常在他眼中形成一幅幅艺术构图,未知句型,
构图的主体就是他们正在安装的超导线圈,肯定句,
那线圈有三层楼高,未知句型,
安装到一半,未知句型,
看上去是一个由巨大的金属块和乱麻般的超低温制冷剂管道组成的怪物,肯定句,
仿佛一堆大工业时代的垃圾,未知句型,
显示出一种非人性的技术的冷酷和钢铁的野蛮,否定句,错
就在这金属巨怪前面,未知句型,
出现了一个年轻女性纤细的身影,未知句型,
这构图的光线分布也很绝：金属巨怪淹没在临时施工顶棚的阴影里,未知句型,
更透出那冷峻、粗糙的质感,未知句型,
而一束夕阳金色的光,未知句型,
透过顶棚的孔洞正好投在那个身影上,未知句型,
柔和的暖光照着她那柔顺的头发,未知句型,
照着工作服领口上白皙的脖颈,未知句型,
看上去就像一场狂暴的雷雨后,未知句型,
巨大的金属废墟上开出了一朵娇柔的花……,未知句型,
“看什么看,未知句型,
干活儿,未知句型,
”,未知句型,
汪淼吓了一跳,未知句型,
然后发现纳米研究中心主任说的不是他,肯定句,
而是一名年轻工程师,肯定句,
后者也和自己一样呆呆地望着那个身影,未知句型,
汪淼从艺术中回到现实,未知句型,
发现那位女性不是一般的工作人员,肯定句,
因为总工程师陪同着她,未知句型,
在向她介绍着什么,未知句型,
一副很尊敬的样子,未知句型,
“她是谁,肯定句,
”汪淼问主任,未知句型,
“你应该知道她的,未知句型,
”主任说,未知句型,
用手划了一大圈,未知句型,
“这个投资二百亿的加速器建成后,未知句型,
第一次运行的可能就是验证她提出的一个超弦模型,肯定句,
要说在论资排辈的理论研究圈子,未知句型,
本来轮不到她的,否定句,对
可那些老家伙不敢先来,否定句,错
怕丢人,未知句型,
就让她捡了个便宜,未知句型,
”,未知句型,
“什么,未知句型,
杨冬是……女的,肯定句,
”,未知句型,
“是的,肯定句,
我们也是在前天见到她时才知道,肯定句,
”主任说,未知句型,
那名工程师问：“她这人是不是有什么心理障碍,肯定句,
要不怎么会从来不上媒体呢,否定句,对
别像是钱钟书似的,肯定句,
到死大家也没能在电视上看上一眼,未知句型,
”,未知句型,
“可我们也不至于不知道钱钟书的性别吧,否定句,错
我觉得她童年一定有什么不寻常的经历,否定句,错
以致得了自闭症,未知句型,
”汪淼说,未知句型,
多少有一些酸葡萄心理,未知句型,
杨冬和总工程师走过来,未知句型,
在经过时她对他们微笑着点点头,未知句型,
没说一句话,未知句型,
但汪淼记住了她那清澈的眼睛,未知句型,
当天晚上汪淼坐在书房里,未知句型,
欣赏着挂在墙上的自己最得意的几幅风景摄影,未知句型,
他的目光落在一幅塞外风光上——那是一个荒凉的山谷,肯定句,
雪山从山谷的尽头露出一抹白,未知句型,
山谷的这一端,未知句型,
半截沧桑的枯木占据了几乎三分之一的画面,未知句型,
汪淼在想象中把那个萦绕在他脑海中的身影叠印到画面上,把字句,
让她位于山谷的深处,未知句型,
看去很小很小,未知句型,
这时汪淼惊奇地发现,未知句型,
整个画面苏醒过来,未知句型,
仿佛照片中的世界认出了那个身影,未知句型,
仿佛这一切本来就是为她而存在,肯定句,
他又依次在想象中将那个身影叠印到另外几幅作品上,未知句型,
有时还将她那双眼睛作为照片上空旷苍穹的背景,未知句型,
那些画面也都苏醒过来,未知句型,
展现出一种汪淼从未想象过的美,未知句型,
以前,未知句型,
汪淼总觉得自己的摄影作品缺少某种灵魂,未知句型,
现在他知道了,未知句型,
缺的是她,肯定句,
“名单上的这些物理学家,未知句型,
在不到两个月的时间里,否定句,对
先后自杀,未知句型,
”常伟思说,未知句型,
晴天霹雳,未知句型,
汪淼的大脑一片空白,未知句型,
后来这空白中渐渐有了图像,未知句型,
那是他那些黑白风景照片,肯定句,
照片中的大地没有了她的身影,否定句,对
天空抹去了她的眼睛,未知句型,
那些世界死了,未知句型,
“是……什么时候,肯定句,
”汪淼呆呆地问,未知句型,
“在不到两个月的时间里,否定句,错
”常将军重复道,未知句型,
“你是指最后一位吧,肯定句,
”坐在汪淼旁边的大史得意地说,未知句型,
然后压低声音,未知句型,
“她是最后一位自杀者,肯定句,
前天晚上,未知句型,
服过量安眠药,未知句型,
她死得很顺溜,未知句型,
没有痛苦,否定句,
”,未知句型,
刹那间,未知句型,
汪淼居然对大史有了那么一丝感激,未知句型,
“为什么,未知句型,
”汪淼问,未知句型,
那些照片上死去的风景画仍在他的脑海中幻灯似的循环浮现,未知句型,
常伟思回答道：“现在能肯定的只有一点：促使他们自杀的原因是相同的,肯定句,
但原因本身在这里很难说清,未知句型,
也可能对我们这些非专业人士根本就说不清,否定句,
文件中附加了他们遗书的部分内容,未知句型,
各位会后可以仔细看看,肯定句,
”,未知句型,
汪淼翻翻那些遗书的复印件,未知句型,
都是长篇大论,肯定句,
“丁仪博士,未知句型,
您能否把杨冬的遗书给汪教授看一下,把字句,
她的最简短,未知句型,
也最有概括性,未知句型,
”,未知句型,
那个一直低着头沉默的人半天才有所反应,未知句型,
掏出一个白色的信封隔着桌子递给汪淼,未知句型,
大史在旁边低声说：“他是杨冬的男友,肯定句,
”汪淼这才想起自己在良湘的高能加速器工地中也见过丁仪,未知句型,
他是理论组的成员,肯定句,
这名物理学家因在对球状闪电(此处参见作者2004 年出版的《球状闪电》) 的研究中发现宏原子而闻名于世,未知句型,
汪淼从信封中抽出一片散发出清香的东西,未知句型,
形状不规则,否定句,
不是纸,肯定句,
竟是一片白桦树皮,肯定句,
上面有一行娟秀的字：,未知句型,
一切的一切都导向这样一个结果：物理学从来就没有存在过,否定句,
将来也不会存在,否定句,
我知道自己这样做是不负责任的,肯定句,
但别无选择,未知句型,
连签字都没有,否定句,
她就走了,未知句型,
“物理学……不存在,否定句,
”汪淼茫然四顾,未知句型,
常将军合上文件夹,未知句型,
“有一些相关的具体信息与世界上三台新的高能加速器建成后取得的实验结果有关,未知句型,
很专业,未知句型,
我们就不在这里讨论了,否定句,
我们首先要调查的是‘科学边界’学会,肯定句,
联合国教科文组织将 2005年定为世界物理年,未知句型,
这个组织就是在这一年国际物理学界频繁的学术会议和交流活动中逐渐诞生的,肯定句,
是一个松散的国际性学术组织,肯定句,
丁博士,未知句型,
您是理论物理专业的,肯定句,
能进一步介绍一下它的情况吗,疑问句,对
”,未知句型,
丁仪点点头说：“我与‘科学边界’没有任何直接联系,否定句,
不过这个组织在学术界很有名,否定句,
它的宗旨是：自上个世纪下半叶以来,肯定句,
物理学古典理论中的简洁有力渐渐消失了,未知句型,
理论图像变得越来越复杂、模糊和不确定,否定句,
实验验证也越来越难,未知句型,
这标志着物理学的前沿探索似乎遇到了很大的障碍和困难,未知句型,
‘科学边界’试图开辟一条新的思维途径,未知句型,
简单地说就是试图用科学的方法找出科学的局限性,肯定句,
试图确定科学对自然界的认知在深度和精度上是否存在一条底线——底线之下是科学进入不了的,肯定句,
现代物理学的发展,未知句型,
似乎隐隐约约地触到了这条底线,未知句型,
”,未知句型,
“很好,未知句型,
”常伟思说,未知句型,
“据我们了解,未知句型,
这些自杀的学者大部分与‘科学边界’有过联系,未知句型,
有些还是它的成员,肯定句,
但没有发现诸如邪教精神控制或使用违法药物这类的犯罪行为,否定句,
也就是说,肯定句,
即使‘科学边界’对那些学者产生过影响,未知句型,
也是通过合法的学术交流途径,肯定句,
汪教授,未知句型,
他们最近与您有联系,未知句型,
我们想了解一些情况,未知句型,
”,未知句型,
大史粗声粗气地开口说：“包括联系人的姓名、见面地点和时间、谈话内容,未知句型,
如果交换过文字资料或电子邮件的话……”,未知句型,
“大史,未知句型,
”常伟思厉声制止了他,未知句型,
“不吱声没人拿你当哑巴,否定句,
”旁边一位警官探过身去对大史低声说,未知句型,
后者拿起桌上的茶杯,未知句型,
看到里面的烟头后,未知句型,
“咚”的一声又放下了,未知句型,
大史又令汪淼像吃了苍蝇一样难受,未知句型,
刚才那一丝感激消失得无影无踪,未知句型,
但他还是克制着回答了这个问题：“我与‘科学边界’的接触是从认识申玉菲开始的,肯定句,
她是一名日籍华裔物理学家,肯定句,
现在为一家日资公司工作,未知句型,
就住在这个城市,未知句型,
她曾在三菱电机的一家实验室从事纳米材料研究,未知句型,
我们是在今年年初的一次技术研讨会上认识的,肯定句,
通过她,未知句型,
又认识了几位物理专业的朋友,未知句型,
都是‘科学边界’的成员,肯定句,
国内国外的都有,未知句型,
和他们的交往时,未知句型,
谈的都是一些很……怎么说呢,肯定句,
很终极的问题,未知句型,
主要就是丁博士刚才提到的科学底线的问题,肯定句,
“我一开始对这些问题没有太大的兴趣,否定句,
只是作为消遣,肯定句,
我是搞应用研究的,肯定句,
在这方面水平不高,否定句,对
主要是听他们讨论和争论,肯定句,
这些人思想都很深刻,未知句型,
观点新颖,未知句型,
自己感觉同他们交流,未知句型,
思想开阔了许多,未知句型,
渐渐变得很投入了,未知句型,
但讨论的话题仅限于此,未知句型,
都是天马行空的纯理论,肯定句,
没有什么特别的,否定句,对
他们曾邀请我加入‘科学边界’,未知句型,
但那样的话,未知句型,
参加这样的研讨会就变成了一项义务,未知句型,
我因为精力有限就谢绝了,未知句型,
”,未知句型,
“汪教授,未知句型,
我们希望您接受邀请,未知句型,
加入‘科学边界’学会,未知句型,
这也是我们今天请您来的主要目的,肯定句,
”常将军说,未知句型,
“我们希望能通过您这个渠道,未知句型,
得到一些这个组织的内部信息,未知句型,
”,未知句型,
“您是说让我去卧底吗,肯定句,
”汪淼不安地问,否定句,错
“哇哈哈,未知句型,
卧底,未知句型,
”大史大笑一声,未知句型,
常伟思责备地看了大史一眼,未知句型,
对汪淼说：“只是提供一些情况,肯定句,对
我们也没有别的渠道,否定句,对
”,未知句型,
汪淼摇摇头：“对不起,否定句,错
首长,未知句型,
我不能干这事,否定句,对
”,未知句型,
“汪教授,未知句型,
‘科学边界’是一个由国际顶尖学者构成的组织,肯定句,对
对它的调查是一件极其复杂和敏感的事,肯定句,对
我们真的是如履薄冰,肯定句,对
没有知识界的帮助,否定句,对
我们寸步难行,未知句型,
所以才提出了这个唐突的要求,未知句型,
希望您能理解,未知句型,
不过我们也尊重您的意愿,否定句,错
如果不同意,否定句,对
我们也是能够理解的,肯定句,对
”,未知句型,
“我……工作很忙,未知句型,
也没有时间,否定句,对
”汪淼推托道,未知句型,
常伟思点点头,未知句型,
“好的,未知句型,
汪教授,未知句型,
那我们就不再耽误您的时间了,否定句,对
谢谢您能来参加这次会议,未知句型,
”,未知句型,
汪淼愣了几秒钟,未知句型,
才明白他该离开了,未知句型,
常伟思礼貌地把汪淼送到会议室门口时,把字句,
大史在后面大声说：“这样挺好,未知句型,
我压根儿就不同意这个方案,否定句,对
已经有这么多书呆子寻了短见,未知句型,
让他去不是‘肉包子打狗’吗,肯定句,错
”,未知句型,
汪淼返身回去,未知句型,
走到大史身旁,未知句型,
努力克制着自己的愤怒,未知句型,
“你这么说话实在不像一名合格的警官,否定句,对
”,未知句型,
“我本来就不是,肯定句,错
”,未知句型,
“那些学者自杀的原因还没有搞清楚,否定句,对
你不该用这么轻蔑的口气谈论他们,否定句,
他们用自己的智慧为人类社会做出的贡献,未知句型,
是任何人都不可替代的,肯定句,对
”,未知句型,
“你是说他们比我强,肯定句,对
”大史在椅子上仰头看着汪淼,未知句型,
“我总不至于听人家忽悠几句就去寻短见,否定句,
”,未知句型,
“那你是说我会,肯定句,对
”,未知句型,
